2026-08-13T00:40:09.376Z | GET | /
2026-08-13T00:40:13.069Z | GET | /api/usuarios
2026-08-13T00:42:55.870Z | GET | /usuarios
2026-08-13T00:43:23.772Z | GET | /usuarios?nombre=&activo=
2026-08-13T00:43:26.285Z | GET | /usuarios
2026-08-13T00:54:08.634Z | GET | /
2026-08-13T00:54:14.023Z | GET | /usuarios
2026-08-13T00:54:24.704Z | GET | /api/usuarios
2026-08-13T00:55:08.885Z | GET | /api/usuarios
2026-08-13T00:55:48.514Z | GET | /usuarios
2026-08-13T00:55:55.078Z | GET | /api/usuarios
2026-08-14T22:50:22.423Z | GET | /
2026-08-14T22:51:36.857Z | GET | /api/usuarios/1
2026-08-14T22:52:19.030Z | GET | /
2026-08-14T22:52:29.756Z | GET | /api/usuarios/999
2026-08-14T22:52:51.558Z | GET | /api/usuarios/abc
2026-08-14T22:53:26.634Z | GET | /api/usuarios?nombre=ana
2026-08-14T23:12:51.863Z | GET | /
2026-08-14T23:13:07.880Z | GET | /api/usuarios?nombre=ana
2026-08-14T23:13:38.081Z | GET | /api/usuarios?nombre=ana
2026-08-14T23:14:15.753Z | GET | /
2026-08-14T23:14:29.427Z | GET | /api/usuarios?nombre=ana
2026-08-14T23:16:01.980Z | GET | /
2026-08-14T23:16:47.220Z | GET | /api/usuarios?nombre=ana
2026-08-14T23:18:23.374Z | GET | /api/usuarios?nombre=ana
2026-08-14T23:19:04.438Z | GET | /api/usuarios?activo=true
2026-08-14T23:19:18.053Z | GET | /api/usuarios?activo=false
2026-08-14T23:19:35.313Z | GET | /api/usuarios?nombre=ana&activo=true
2026-08-14T23:19:49.487Z | GET | /api/usuarios?activo=si
2026-08-19T02:19:42.229Z | POST | /api/usuarios
2026-08-19T02:20:38.078Z | GET | /api/usuarios
2026-08-19T02:21:33.905Z | POST | /api/usuarios
2026-08-19T02:27:41.543Z | POST | /api/usuarios
2026-08-19T02:41:22.338Z | POST | /api/usuarios
2026-08-19T02:46:14.018Z | POST | /api/usuarios
2026-08-20T20:22:25.658Z | POST | /api/usuarios
2026-08-20T20:23:29.517Z | POST | /api/usuarios
2026-08-20T20:24:15.140Z | POST | /api/usuarios
2026-08-20T20:24:18.521Z | POST | /api/usuarios
2026-08-20T20:42:20.436Z | PUT | /api/usuarios/1
2026-08-20T20:42:36.686Z | GET | /
2026-08-20T20:42:41.147Z | GET | /api/usuarios
2026-08-20T20:43:00.741Z | GET | /usuarios
2026-08-20T20:43:06.291Z | GET | /usuarios/1
2026-08-20T20:43:17.094Z | PUT | /usuarios/1
2026-08-20T20:43:35.207Z | PUT | /api/usuarios/1
2026-08-20T20:43:46.259Z | GET | /api/usuarios
2026-08-20T21:21:05.885Z | POST | /api/usuarios/1
2026-08-20T21:21:16.320Z | PUT | /api/usuarios/1
2026-08-20T21:32:31.570Z | DELETE | /api/usuarios/4
2026-08-20T22:19:24.903Z | GET | /
2026-08-20T22:19:27.953Z | GET | /usuarios/nuevo
2026-08-20T22:24:48.718Z | GET | /usuarios/nuevo
2026-08-20T22:25:16.516Z | GET | /
2026-08-20T22:25:22.398Z | GET | /usuarios-nuevo
2026-08-20T22:26:31.764Z | POST | /usuarios
2026-08-20T22:26:49.402Z | GET | /
2026-08-20T22:29:02.637Z | GET | /
2026-08-20T22:29:05.070Z | GET | /usuarios-nuevo
2026-08-20T22:29:23.054Z | POST | /usuarios
2026-08-20T22:32:24.716Z | GET | /
2026-08-20T22:32:28.517Z | GET | /usuarios-nuevo
2026-08-20T22:33:06.925Z | POST | /usuarios
2026-08-20T22:35:49.518Z | GET | /
2026-08-20T22:35:55.313Z | GET | /usuarios-nuevo
2026-08-20T22:36:24.155Z | POST | /usuarios
2026-08-20T22:36:24.978Z | GET | /usuarios
2026-08-20T22:44:40.271Z | GET | /
2026-08-20T22:44:43.793Z | GET | /usuarios//editar
2026-08-20T22:45:59.027Z | GET | /
2026-08-20T22:46:01.394Z | GET | /usuarios-nuevo
2026-08-20T22:46:11.716Z | GET | /usuarios
2026-08-20T22:46:14.460Z | GET | /usuarios/1/editar
2026-08-20T22:46:16.418Z | GET | /
2026-08-20T22:46:21.237Z | GET | /usuarios
2026-08-20T22:46:22.766Z | GET | /status
2026-08-20T22:46:27.331Z | GET | /
2026-08-20T22:46:27.878Z | GET | /usuarios
2026-08-20T22:46:32.373Z | GET | /usuarios/1/editar
2026-08-20T22:48:00.588Z | GET | /
2026-08-20T22:48:04.040Z | GET | /usuarios
2026-08-20T22:48:06.106Z | GET | /usuarios/1/editar
2026-08-20T22:48:21.428Z | GET | /usuarios/11/editar
2026-08-20T22:48:30.961Z | POST | /usuarios/11/editar
2026-08-20T22:49:07.890Z | POST | /usuarios/11/editar
2026-08-20T22:49:07.991Z | GET | /usuarios
2026-08-20T22:50:45.016Z | GET | /usuarios/11
2026-08-20T22:50:47.544Z | GET | /usuarios
2026-08-20T22:50:49.997Z | GET | /usuarios/11/editar
2026-08-20T22:50:56.930Z | POST | /usuarios/11/editar
2026-08-20T22:50:56.950Z | GET | /usuarios
2026-08-20T22:51:11.791Z | GET | /usuarios/11
2026-08-20T22:51:30.672Z | GET | /
2026-08-20T22:52:31.391Z | GET | /
2026-08-20T22:52:35.255Z | GET | /usuarios
2026-08-20T22:52:38.495Z | POST | /usuarios/11/eliminar
2026-08-20T22:55:11.160Z | GET | /usuarios
2026-08-20T22:55:13.186Z | POST | /usuarios/11/eliminar
2026-08-20T22:56:18.013Z | GET | /usuarios
2026-08-20T22:56:20.180Z | POST | /usuarios/11/eliminar
2026-08-20T23:03:55.520Z | GET | /
2026-08-20T23:03:59.415Z | GET | /usuarios
2026-08-20T23:04:02.424Z | POST | /usuarios/11/eliminar
2026-08-20T23:05:28.499Z | GET | /
2026-08-20T23:05:31.486Z | GET | /usuarios
2026-08-20T23:05:35.028Z | POST | /usuarios/11/eliminar
2026-08-20T23:05:35.292Z | GET | /usuarios
